JobTitle,SalaryEstimate,Rating,CompanyName,CompanySize,FoundedYear,OwnershipType,Industry,Sector,MinSalary,MaxSalary,AverageSalary,state,City,CompanyAge,AverageRevenue,NumberOfCompetitors,Experience_Level,RequiredSkills,EducationLevel,YearsofExperience,SalaryCategory
data scientist,53000-91000 ,3.8,Tecolote Research,501-1000,1973.0,Private,Aerospace & Defense,Aerospace & Defense,53000,91000,72000,NM,Albuquerque,51.0,75000000.0,1,Mid-level,"['Python', 'R']","['Bachelor', 'Master']",7.25830258302583,Low
data scientist,63000-112000 ,3.4,University of Maryland Medical System,10000++,1984.0,Other Organization,Health Care Services & Hospitals,Health Care,63000,112000,87500,MD,Linthicum,40.0,3500000000.0,1,Mid-level,"['Python', 'R', 'Java', 'C++']",['Master'],3.0,Medium
data scientist,80000-90000 ,4.8,KnowBe4,501-1000,2010.0,Private,Security Services,Business Services,80000,90000,85000,FL,Clearwater,14.0,300000000.0,1,Mid-level,"['Python', 'R', 'SQL']","['Master', 'PhD']",3.0,Medium
data scientist,56000-97000 ,3.8,PNNL,1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",56000,97000,76500,WA,Richland,59.0,250500000.0,3,Mid-level,"['Python', 'R']",[],1.0,Medium
data scientist,86000-143000 ,2.9,Affinity Solutions,51-200,1998.0,Private,Advertising & Marketing,Business Services,86000,143000,114500,NY,New York,26.0,3078534386.6171002,3,Mid-level,"['Python', 'R', 'SQL']",[],7.25830258302583,Medium
data scientist,71000-119000 ,3.4,CyrusOne,201-500,2000.0,Public,Real Estate,Real Estate,71000,119000,95000,TX,Dallas,24.0,1500000000.0,3,Mid-level,"['Python', 'R', 'SQL']",[],2.0,Medium
data scientist,54000-93000 ,4.1,ClearOne Advantage,501-1000,2008.0,Private,Banks & Credit Unions,Finance,54000,93000,73500,MD,Baltimore,16.0,3078534386.6171002,1,Mid-level,['R'],[],7.25830258302583,Low
data scientist,86000-142000 ,3.8,Logic20/20,201-500,2005.0,Private,Consulting,Business Services,86000,142000,114000,CA,San Jose,19.0,37500000.0,1,Mid-level,"['Python', 'R', 'SQL']","['Master', 'PhD']",7.25830258302583,Medium
Other,38000-84000 ,3.3,Rochester Regional Health,10000++,2014.0,Hospital,Health Care Services & Hospitals,Health Care,38000,84000,61000,NY,Rochester,10.0,250500000.0,1,Mid-level,['R'],['PhD'],7.25830258302583,Low
data scientist,120000-160000 ,4.6,<intent>,51-200,2009.0,Private,Internet,Information Technology,120000,160000,140000,NY,New York,15.0,300000000.0,2,Mid-level,"['Python', 'R', 'Java', 'C++', 'Scala']",[],7.25830258302583,High
data scientist,126000-201000 ,3.5,Wish,501-1000,2011.0,Private,Other Retail Stores,Retail,126000,201000,163500,CA,San Jose,13.0,1500000000.0,1,Mid-level,"['Python', 'R', 'Scala']",[],2.0,High
data scientist,64000-106000 ,4.1,ManTech,5001-10000,1968.0,Public,Research & Development,Business Services,64000,106000,85000,VA,Chantilly,56.0,1500000000.0,1,Mid-level,"['R', 'SQL']",[],7.25830258302583,Medium
data scientist,106000-172000 ,3.2,Walmart,10000++,1962.0,Public,"Department, Clothing, & Shoe Stores",Retail,106000,172000,139000,TX,Plano,62.0,10000000000.0,3,Mid-level,"['R', 'SQL']","['Bachelor', 'Master']",5.0,High
analyst,46000-85000 ,4.1,Yesler,201-500,2012.0,Private,Advertising & Marketing,Business Services,46000,85000,65500,WA,Seattle,12.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']",[],5.0,Low
data scientist,83000-144000 ,3.7,Takeda Pharmaceuticals,10000++,1781.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,83000,144000,113500,MA,Cambridge,243.0,10000000000.0,3,Mid-level,"['Python', 'R', 'SQL', 'Java', 'Scala']","['Master', 'PhD']",3.0,Medium
data engineer,102000-190000 ,3.6,Audible,1001-5000,1995.0,Subsidiary or Business Segment,Motion Picture Production & Distribution,Media,102000,190000,146000,NJ,Newark,29.0,3078534386.6171002,1,Mid-level,"['R', 'Scala']",[],7.25830258302583,High
Other,67000-137000 ,3.9,Blueprint Medicines,51-200,2011.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,67000,137000,102000,MA,Cambridge,13.0,3000000.0,3,Mid-level,['R'],['PhD'],3.0,Medium
data scientist,118000-189000 ,4.3,h2o.ai,201-500,2011.0,Private,Enterprise Software & Network Solutions,Information Technology,118000,189000,153500,CA,Mountain View,13.0,3078534386.6171002,1,Mid-level,"['Python', 'R']","['Bachelor', 'Master']",2.0,High
data scientist,110000-175000 ,4.2,Nuna,51-200,2010.0,Private,Enterprise Software & Network Solutions,Information Technology,110000,175000,142500,CA,San Francisco,14.0,3078534386.6171002,1,Mid-level,"['R', 'SQL']",['Bachelor'],3.0,High
data scientist,64000-111000 ,4.0,Pinnacol Assurance,501-1000,1915.0,Nonprofit Organization,Insurance Carriers,Insurance,64000,111000,87500,CO,Denver,109.0,250500000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Scala']","['Bachelor', 'Master']",7.25830258302583,Medium
data scientist,81000-130000 ,3.2,Porch,201-500,2012.0,Private,Internet,Information Technology,81000,130000,105500,WA,Seattle,12.0,3078534386.6171002,3,Mid-level,"['Python', 'R', 'SQL', 'Scala']",['Master'],2.0,Medium
data scientist,73000-119000 ,3.9,Health IQ,201-500,2013.0,Private,Insurance Agencies & Brokerages,Insurance,73000,119000,96000,TX,Dallas,11.0,3078534386.6171002,1,Senior,"['R', 'Scala']",['PhD'],4.0,Medium
data scientist,86000-139000 ,3.8,Truckstop.com,501-1000,1995.0,Private,Logistics & Supply Chain,Transportation & Logistics,86000,139000,112500,IL,Chicago,29.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']","['Bachelor', 'Master', 'PhD']",7.25830258302583,Medium
data scientist,63000-105000 ,4.3,SMC 3,51-200,1935.0,Nonprofit Organization,Logistics & Supply Chain,Transportation & Logistics,63000,105000,84000,KY,Louisville,89.0,17500000.0,1,Mid-level,"['Python', 'R', 'SQL']","['Bachelor', 'Master']",2.0,Medium
data scientist,109000-177000 ,4.0,Novetta,501-1000,2012.0,Private,Enterprise Software & Network Solutions,Information Technology,109000,177000,143000,VA,Herndon,12.0,300000000.0,3,Mid-level,"['Python', 'R', 'Java']",[],7.25830258302583,High
data scientist,63000-110000 ,4.0,Pfizer,10000++,1849.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63000,110000,86500,MA,Cambridge,175.0,10000000000.0,1,Mid-level,"['Python', 'R']",[],3.0,Medium
data scientist,75000-124000 ,3.5,First Tech Federal Credit Union,1001-5000,1952.0,Private,Banks & Credit Unions,Finance,75000,124000,99500,OR,Hillsboro,72.0,300000000.0,1,Mid-level,"['Python', 'R', 'SQL']",[],3.0,Medium
analyst,34000-61000 ,3.7,The Hanover Insurance Group,5001-10000,1852.0,Public,Insurance Carriers,Insurance,34000,61000,47500,MA,Worcester,172.0,7500000000.0,1,Mid-level,['R'],['Bachelor'],1.0,Low
data scientist,63000-105000 ,4.0,Pfizer,10000++,1849.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,63000,105000,84000,CT,Groton,175.0,10000000000.0,1,Mid-level,['R'],"['Bachelor', 'Master']",5.0,Medium
data scientist,80000-90000 ,4.8,KnowBe4,501-1000,2010.0,Private,Security Services,Business Services,80000,90000,85000,FL,Clearwater,14.0,300000000.0,1,Mid-level,"['Python', 'R', 'SQL']","['Master', 'PhD']",3.0,Medium
data scientist,56000-97000 ,3.8,PNNL,1001-5000,1965.0,Government,Energy,"Oil, Gas, Energy & Utilities",56000,97000,76500,WA,Richland,59.0,250500000.0,3,Mid-level,"['Python', 'R']",[],1.0,Medium
data scientist,72000-120000 ,3.6,Amrock,1001-5000,1997.0,Private,Real Estate,Real Estate,72000,120000,96000,MI,Detroit,27.0,250500000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Java', 'C++']","['Master', 'Doctorate']",7.25830258302583,Medium
data scientist,86000-143000 ,3.8,Novartis,10000++,1996.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,86000,143000,114500,MA,Cambridge,28.0,10000000000.0,1,Mid-level,"['Python', 'R', 'C++']",[],7.25830258302583,Medium
data scientist,93000-149000 ,3.8,Juniper Networks,5001-10000,1996.0,Public,Telecommunications Services,Telecommunications,93000,149000,121000,CA,Sunnyvale,28.0,3500000000.0,1,Mid-level,"['Python', 'R', 'SQL', 'Scala']","['Bachelor', 'Master']",2.0,Medium
data scientist,85000-140000 ,4.7,New England Biolabs,201-500,1974.0,Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,85000,140000,112500,MA,Ipswich,50.0,3078534386.6171002,3,Mid-level,"['Python', 'R']",[],7.25830258302583,Medium
analyst,77000-135000 ,4.2,Clarity Insights,201-500,2008.0,Private,It Services,Information Technology,77000,135000,106000,CA,San Jose,16.0,3078534386.6171002,1,Mid-level,"['Python', 'R', 'SQL']",[],5.0,Medium
data scientist,82000-132000 ,3.5,Esri,1001-5000,1969.0,Private,Computer Hardware & Software,Information Technology,82000,132000,107000,CA,Redlands,55.0,1500000000.0,1,Mid-level,"['Python', 'R', 'Java', 'Scala']","['Bachelor', 'Master', 'PhD']",2.0,Medium
data scientist,83000-137000 ,4.7,Systems & Technology Research,201-500,2010.0,Private,Aerospace & Defense,Aerospace & Defense,83000,137000,110000,MA,Woburn,14.0,300000000.0,1,Mid-level,"['Python', 'R', 'SQL']",['PhD'],2.0,Medium
data scientist,115000-180000 ,3.5,Sartorius,5001-10000,1870.0,Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,115000,180000,147500,CA,Fremont,154.0,1500000000.0,1,Senior,"['Python', 'R']",['Master'],7.25830258302583,High
